uuid,symbol,name,color,iconUrl,marketCap,price,listedAt,change,rank,sparkline,lowVolume,coinrankingUrl,24hVolume,btcPrice,contractAddresses,chains
PsSKgHpc6vncu,CHR,Chromia,#000000,https://cdn.coinranking.com/DThUd7v5U/3978.png,203158414,0.2440617985132627,1562793720,-7.13,232,"[""0.2652663946583696"", ""0.25228594988939795"", ""0.25324713553869865"", ""0.2546905591125472"", ""0.252009588664353"", ""0.2517365386600509"", ""0.25467964789003994"", ""0.2541177284251286"", ""0.2536089074718258"", ""0.2525429401454803"", ""0.253620168976743"", ""0.25167507091491187"", ""0.2471689583462216"", ""0.24419423918239583"", ""0.24474407933257936"", ""0.24677185972022744"", ""0.24681857766408863"", ""0.2456081074926348"", ""0.2432226758957233"", ""0.24053717439987066"", ""0.23939276969508871"", ""0.2395716477681197"", ""0.24211132058045232"", null]",False,https://coinranking.com/coin/PsSKgHpc6vncu+chromia-chr,37307717,3.6500373169e-06,"[""ethereum/0x8a2279d4a90b6fe1c4b30fa660cc9f926797baa2""]",['ethereum']
eLJWn52hZ,MPL,Maple,#fe7c2b,https://cdn.coinranking.com/WCN351f47/9417.png,187258117,19.026711045648987,1649984930,-5.91,245,"[""20.24613155586606"", ""20.295547159180074"", ""20.294472521526714"", ""20.25944470163671"", ""20.153369105539603"", ""20.210859396676234"", ""20.341095239386288"", ""20.415457765028062"", ""20.452996623606957"", ""20.520915568116816"", ""20.564704937482823"", ""20.629906046835977"", ""20.609316599562263"", ""20.48306624008138"", ""20.285773080611374"", ""20.230223632643472"", ""19.41012080543851"", ""19.253721761198005"", ""19.268701872862557"", ""19.121473589974002"", ""19.09271066013042"", ""19.071676908841702"", ""19.033158751099823"", null]",False,https://coinranking.com/coin/eLJWn52hZ+maple-mpl,2816747,0.0002845517232062,"[""ethereum/0x33349B282065b0284d756F0577FB39c158F935e6""]",['ethereum']
m9B8ANFJa,CTC,Creditcoin,#000000,https://cdn.coinranking.com/sVNoX1TkJ/5198.png,179989292,0.506880373079252,1653276787,-1.62,250,"[""0.5176323544500875"", ""0.5203013759699177"", ""0.5232347954748037"", ""0.5229403437367227"", ""0.5166884760083562"", ""0.5150996639003097"", ""0.5154450345990005"", ""0.5156026999531876"", ""0.5182704832933872"", ""0.5203314467016772"", ""0.521726685974934"", ""0.520636121125356"", ""0.5150850918539981"", ""0.5124348467933346"", ""0.5139986528061151"", ""0.5125739058907023"", ""0.5107618817572436"", ""0.5108426930088276"", ""0.5082688047578675"", ""0.5013178021141776"", ""0.5014542686630161"", ""0.5007708163644207"", ""0.5050735982358405"", null]",False,https://coinranking.com/coin/m9B8ANFJa+creditcoin-ctc,9471198,7.5805893763e-06,"[""ethereum/0xa3EE21C306A700E682AbCdfe9BaA6A08F3820419""]",['ethereum']
-U3Wgs4ux,CPOOL,Clearpool,#000000,https://cdn.coinranking.com/c3PLnXG18/CPOOL.png,154368029,0.1579930893140536,1639549501,-2.37,273,"[""0.16276827590864879"", ""0.1617254308520995"", ""0.16091147149331342"", ""0.16136723076807818"", ""0.16152716148617532"", ""0.16008694180916766"", ""0.16039655930098407"", ""0.16044588947458574"", ""0.1608262219775923"", ""0.16086185987893997"", ""0.1609795849307918"", ""0.16312331662318072"", ""0.16178822905060924"", ""0.16170361073361914"", ""0.16233495264903816"", ""0.1625759747732142"", ""0.1623501607892029"", ""0.16228155977474715"", ""0.1619891034591401"", ""0.16071060536476997"", ""0.16026119931764896"", ""0.16076795462187107"", ""0.15780784592660174"", null]",False,https://coinranking.com/coin/-U3Wgs4ux+clearpool-cpool,698675,2.3628469319e-06,"[""ethereum/0x66761fa41377003622aee3c7675fc7b5c1c2fac5""]",['ethereum']
Y7xDDtT6X,TRU,TrueFi,#ccdafc,https://cdn.coinranking.com/7K7D4maEi/truefi.png,143606498,0.1243471659801774,1646899220,-8.51,286,"[""0.13678159044196003"", ""0.13735177205830862"", ""0.13895807627427267"", ""0.13976722618483062"", ""0.13605439016641846"", ""0.13494986333345046"", ""0.1344953654946823"", ""0.13378096300018943"", ""0.13384206389645475"", ""0.1336762535918379"", ""0.13369021308463952"", ""0.13199151328686773"", ""0.12941853122968308"", ""0.1281117298166929"", ""0.12819099584444232"", ""0.12964528399539352"", ""0.12939601932581324"", ""0.12861349759103685"", ""0.1268241623045754"", ""0.12478349987522315"", ""0.1235625119553086"", ""0.12292975785553774"", ""0.12419616945946273"", null]",False,https://coinranking.com/coin/Y7xDDtT6X+truefi-tru,34822523,1.859659311e-06,"[""ethereum/0x4c19596f5aaff459fa38b0f7ed92f11ae6543784""]",['ethereum']
b6MS3Guay,ORAI,Oraichain Token,#000000,https://cdn.coinranking.com/I83vQC2Sv/logomark-light.png,127378625,7.845633683772901,1627372757,-0.22,312,"[""7.887621283344146"", ""7.8938976351559695"", ""7.871693187756544"", ""7.818043243026093"", ""7.744778678903101"", ""7.721761869514222"", ""7.721939460450214"", ""7.729679415739296"", ""7.76216502633191"", ""7.781384708904091"", ""7.7938188371596375"", ""7.760950485811119"", ""7.720575128683075"", ""7.7074829990714075"", ""7.737326969626691"", ""7.7875718464599535"", ""7.790991438453247"", ""7.78953078238951"", ""7.771666076501728"", ""7.699516248573209"", ""7.699674577456821"", ""7.6988948551578025"", ""7.770283905712456"", null]",False,https://coinranking.com/coin/b6MS3Guay+oraichaintoken-orai,14554848,0.0001173344451916,"[""ethereum/0x4c11249814f11b9346808179cf06e71ac328c1b5""]",['ethereum']
CyBq7c4cn,TOKEN,TokenFi,#040404,https://cdn.coinranking.com/6u4uNnaAG/token.png,111471702,0.0722487046886197,1698632740,-5.4,331,"[""0.07649656668202902"", ""0.0766667501762245"", ""0.07779634124962924"", ""0.07765965835868435"", ""0.07588379395666821"", ""0.07481551718272346"", ""0.07475451332658717"", ""0.07487811185769973"", ""0.07574606055565153"", ""0.07599447475183733"", ""0.07646797671511332"", ""0.07495309586307124"", ""0.07384517497407071"", ""0.0734103874605752"", ""0.07350194266381455"", ""0.07406529964819265"", ""0.07395970724852068"", ""0.07382322890112536"", ""0.07322264889139479"", ""0.07155537715923002"", ""0.0706570841379849"", ""0.07046507567704294"", ""0.07112375744143302"", null]",False,https://coinranking.com/coin/CyBq7c4cn+tokenfi-token,5912986,1.0805069446e-06,"[""ethereum/0x4507cEf57C46789eF8d1a19EA45f4216bae2B528"", ""bnb-smart-chain/0x4507cEf57C46789eF8d1a19EA45f4216bae2B528""]","['ethereum', 'bnb-smart-chain']"
hqyKex9jsK15L,RSR,Reserve Rights Token,#7d6464,https://cdn.coinranking.com/xdZ1Ey1Ac/RSR.png,98010738,0.0054944156534028,1562332800,-5.41,352,"[""0.005881118586400646"", ""0.005840042252512903"", ""0.005875944527033134"", ""0.005884198255035965"", ""0.005760983330476736"", ""0.005712713202121479"", ""0.005704389786415953"", ""0.005714489950777417"", ""0.005723348867664867"", ""0.005715288076705554"", ""0.00572044764363382"", ""0.0056426749205324"", ""0.005595038635080172"", ""0.005565857091304927"", ""0.005588271096921256"", ""0.005671493897379818"", ""0.005659656951596877"", ""0.005617261076844997"", ""0.005555342190085994"", ""0.005468196199266833"", ""0.005444869508705883"", ""0.005402182788181624"", ""0.005477318976988381"", null]",False,https://coinranking.com/coin/hqyKex9jsK15L+reserverightstoken-rsr,14437531,8.2171082455e-08,"[""ethereum/0x320623b8E4fF03373931769A31Fc52A4E78B5d70""]",['ethereum']
E3w8cmrAs,DUSK,Dusk,#b3b1b5,https://cdn.coinranking.com/yR2vRKNyf/4092.png,91415060,0.2534634297463391,1562591880,-7.43,362,"[""0.2749117363176461"", ""0.275215928013539"", ""0.27767266039500643"", ""0.27618901162091336"", ""0.2696418379783593"", ""0.2677189218481877"", ""0.2671232295607882"", ""0.26552718560295335"", ""0.26607065190277823"", ""0.2666167238073605"", ""0.2670656167788155"", ""0.2641691609056359"", ""0.26110145234541365"", ""0.2594218400576538"", ""0.26075942750800285"", ""0.263454009588113"", ""0.26347044374519063"", ""0.262793944231241"", ""0.2613449377120349"", ""0.2578940848680467"", ""0.2554933366800426"", ""0.25135843072518066"", ""0.2523976670920918"", null]",False,https://coinranking.com/coin/E3w8cmrAs+dusk-dusk,24771499,3.7906422991e-06,"[""ethereum/0x940a2db1b7008b6c776d4faaca729d6d4a4aa551"", ""bnb-smart-chain/0xb2bd0749dbe21f623d9baba856d3b0f0e1bfec9c""]","['ethereum', 'bnb-smart-chain']"
HoSblCMxj,BOSON,Boson Protocol,#97f0e7,https://cdn.coinranking.com/XySSePbiN/logo(2).png,79103543,0.3955177130555407,1628237651,8.56,391,"[""0.36548665537731745"", ""0.3665989929887232"", ""0.3702220545350421"", ""0.371476538907753"", ""0.37271868831125304"", ""0.36858005268734617"", ""0.36570824893721204"", ""0.36575592521849437"", ""0.36671331107477395"", ""0.3680538939399561"", ""0.36892597749683254"", ""0.3666178682897579"", ""0.36460054292321586"", ""0.36399138589893304"", ""0.365066078327628"", ""0.3676208705921035"", ""0.374453934350709"", ""0.37715246453245993"", ""0.3762443660934909"", ""0.37341428385921915"", ""0.3740491106297405"", ""0.3766435125275159"", ""0.38666121751204546"", null]",False,https://coinranking.com/coin/HoSblCMxj+bosonprotocol-boson,11648688,5.9151183059e-06,"[""ethereum/0xc477d038d5420c6a9e0b031712f61c5120090de9""]",['ethereum']
RaeqeanDjqa17,PRO,Propy,#000000,https://cdn.coinranking.com/B1a-KtwBf/pro.svg,76103211,1.335001962922455,1499817600,-2.35,404,"[""1.3731366416698716"", ""1.3765809159257407"", ""1.3852715105477504"", ""1.3833083066811842"", ""1.3697408256118946"", ""1.3450483909406508"", ""1.3509954522688552"", ""1.3414561316747127"", ""1.3387259147098403"", ""1.3408389202397537"", ""1.3463996100199"", ""1.3378439079481874"", ""1.3332046892003442"", ""1.3256956440533902"", ""1.323030750672514"", ""1.3132529478881996"", ""1.3165677590469078"", ""1.3185664335411853"", ""1.3166560564308873"", ""1.3167473178065832"", ""1.3214801620512617"", ""1.3228905901252666"", ""1.331847500505038"", null]",False,https://coinranking.com/coin/RaeqeanDjqa17+propy-pro,4234884,1.99654637168e-05,"[""ethereum/0x226bb599a12c826476e3a771454697ea52e9e220""]",['ethereum']
3TVpbsRsP,PROPC,Propchain,#000000,https://cdn.coinranking.com/yM1VLxux3/V9KZmCXL_400x400.PNG,71191666,1.4750689794600873,1684461864,-6.3,418,"[""1.5703624020834197"", ""1.560511644819793"", ""1.548885964435348"", ""1.5304281233349264"", ""1.5199691654324838"", ""1.51594751321706"", ""1.530729216687752"", ""1.5435695218748442"", ""1.544311460042622"", ""1.5283413779865367"", ""1.5350399736114149"", ""1.539550024308187"", ""1.5311960968687373"", ""1.5258359401475716"", ""1.5167830008052527"", ""1.5159727810983938"", ""1.4948093972514256"", ""1.4915162206947175"", ""1.4758030162607934"", ""1.4828083217890116"", ""1.4507602053900535"", ""1.4411408768466099"", ""1.440978135959231"", null]",False,https://coinranking.com/coin/3TVpbsRsP+propchain-propc,524872,2.20602193908e-05,"[""ethereum/0x9ff58067Bd8D239000010c154C6983A325Df138E""]",['ethereum']
